,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
41335,1985,chevrolet,corvette,,,manual,1g1yy0782f5105103,az,4.0,95965.0,gold,gold,mountain remarketing,2025.0,3750.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
41336,1985,,,,,automatic,1g6el5787fe612281,il,,67786.0,brown,—,phillips chevrolet of lansing inc,2975.0,550.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
41339,1985,chevrolet,corvette,,,automatic,1g1yy0781f5110244,tx,,70422.0,gray,—,all american chevrolet of killeen,2300.0,4000.0,Fri Dec 19 2014 10:00:00 GMT-0800 (PST)
166358,1985,,,,,automatic,wdbba45c4fa018017,fl,1.0,84547.0,gold,tan,manheim fort lauderdale,3175.0,2400.0,Tue Jan 20 2015 01:32:00 GMT-0800 (PST)
281625,1985,,,,,manual,1jccf87exft014425,ca,2.0,121644.0,red,—,aaero sweet company,2500.0,5100.0,Wed Feb 11 2015 03:30:00 GMT-0800 (PST)
293303,1985,,,,,automatic,1g1yy0786f5138122,ca,2.0,68815.0,red,gray,wholesale enterprise inc,4050.0,6200.0,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
473480,1985,,,,,automatic,wdbba45c2fa016119,wa,2.0,113756.0,gold,black,charitable adult rides services/car donating is,3625.0,3100.0,Wed May 27 2015 06:15:00 GMT-0700 (PDT)
488121,1985,,,,,manual,1g1yy0788f5103548,nj,2.0,71827.0,white,black,auto lender liquidation center,3350.0,2500.0,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
552718,1985,,,,,automatic,wdbba45c1fa026978,ga,1.0,79739.0,silver,gray,pye auto sales,4875.0,2500.0,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
556442,1985,,,,,manual,1g1yy0780f5125155,pa,2.0,28839.0,white,red,remarketing by ge/nextgear capital,4125.0,5100.0,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
